# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Aug 27 16:44:02 PDT 2020 [seed=666]
# -seed 666 -overwrite /Users/homefolder/FluHawkes/xml/fluCombi_geo_BMDS_Hawkes_Exper.xml
state	mds.residual.precision	sigmaXprec.h1	tauXprec.h1	tauTprec.h1	omega.h1	theta.h1	mu0.h1	sigmaXprec.h3	tauXprec.h3	tauTprec.h3	omega.h3	theta.h3	mu0.h3	sigmaXprec.yam	tauXprec.yam	tauTprec.yam	omega.yam	theta.yam	mu0.yam	sigmaXprec.vic	tauXprec.vic	tauTprec.vic	omega.vic	theta.vic	mu0.vic
990000	0.6842913050784551	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1000000	0.6848858710045969	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1010000	0.6844643303258496	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1020000	0.6842052304572289	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1030000	0.6844749881750962	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1040000	0.6844721268068841	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1050000	0.6840385627240211	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1060000	0.6841787577408238	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1070000	0.6844697798663057	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1080000	0.6844051547825616	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1090000	0.68463384041261	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1100000	0.6836946181574527	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1110000	0.6846014074252108	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1120000	0.6848176365014437	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
1130000	0.6838285085924367	70.0	11.0	0.7	18.0	0.8	0.2	100.0	10.0	0.01	2.0	0.9	0.6	80.0	2.0	0.05	2.0	1.0	0.6	0.2	20.0	1.5	20.0	0.3	0.7
